,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,ccand93,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17,1,0.131,0,0,0,0.037,0,0.018,0,0.027,0,0,0.048,0.017,0,0,0,0.016,0.082,0.072,0,0,0.085,0,0.113,0.155
crloflin,0.131,1,0,0,0,0,0,0,0,0,0.047,0,0.081,0,0,0,0,0,0,0.032,0,0,0,0,0.081,0
pmittal115,0,0,1,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0.099,0.03,0,0,0,0,0.189,0,0,0.217
ankitbatheja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0
ishwetasingh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0
pjt90,0.037,0,0,0,0,1,0,0.035,0,0,0,0,0.03,0.017,0,0,0,0.015,0,0.01,0.017,0,0.017,0,0.044,0.037
sauravn,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.019,0,0,0
dengc,0.018,0,0.024,0,0,0.035,0,1,0,0,0,0,0.017,0.072,0,0,0,0,0,0,0,0.053,0.113,0,0.017,0.108
jeffkeilmann,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christyyy,0.027,0,0,0,0,0,0,0,0,1,0.015,0,0.029,0,0,0,0,0,0,0.015,0,0,0,0,0,0.017
prachitamane,0,0.047,0,0,0,0,0,0,0,0.015,1,0,0.044,0,0,0,0,0.045,0.024,0.055,0,0,0.018,0,0,0.013
ccand93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan,0.048,0.081,0,0,0,0.03,0,0.017,0,0.029,0.044,0,1,0,0,0,0,0,0.015,0,0.016,0,0,0,0.169,0
huayifang,0.017,0,0,0,0,0.017,0,0.072,0,0,0,0,0,1,0,0,0,0.044,0,0,0,0,0.034,0,0,0.029
patrickherrod,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lheston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lostkuma,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033,0,0,0,0,0.013,0,0,0
MegamindHenry,0.016,0,0.03,0,0,0.015,0.02,0,0,0,0.045,0,0,0.044,0,0,0.033,1,0,0,0,0,0.058,0,0,0.062
shiboo18,0.082,0,0,0,0,0,0,0,0,0,0.024,0,0.015,0,0,0,0,0,1,0.055,0,0,0,0,0,0
meetalivaidya,0.072,0.032,0,0,0,0.01,0,0,0,0.015,0.055,0,0,0,0,0,0,0,0.055,1,0.017,0,0.016,0,0,0.015
hsu,0,0,0,0,0,0.017,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0.017,1,0,0,0,0,0
tanmayee123,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0,0.019,0.017
cgrieger12,0.085,0,0.189,0.015,0,0.017,0.019,0.113,0,0,0.018,0,0,0.034,0,0,0.013,0.058,0,0.016,0,0.015,1,0,0.047,0.551
mgogte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aterriqu,0.113,0.081,0,0,0,0.044,0,0.017,0,0,0,0,0.169,0,0,0,0,0,0,0,0,0.019,0.047,0,1,0.058
abelal16,0.155,0,0.217,0,0,0.037,0,0.108,0,0.017,0.013,0,0,0.029,0,0,0,0.062,0,0.015,0,0.017,0.551,0,0.058,1
