,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,ccand93,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17,1,0,0.034,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0.017,0,0.065,0.03,0,0.135,0.052,0,0.267,0.047
crloflin,0,1,0.048,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmittal115,0.034,0.048,1,0,0,0.106,0,0.086,0,0,0.099,0,0,0.093,0,0,0.018,0.035,0.044,0.062,0,0.09,0.072,0,0.231,0.129
ankitbatheja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ishwetasingh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pjt90,0,0,0.106,0,0,1,0,0.033,0,0,0,0,0,0.069,0,0,0,0.017,0,0.03,0.031,0.107,0.018,0,0.091,0.096
sauravn,0,0,0,0,0,0,1,0.019,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0.09,0,0,0
dengc,0.017,0,0.086,0,0,0.033,0.019,1,0,0,0.047,0,0,0,0,0,0.058,0.044,0.017,0,0,0.042,0.147,0,0,0
jeffkeilmann,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christyyy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prachitamane,0,0.034,0.099,0,0,0,0,0.047,0,0,1,0,0.064,0,0,0,0,0.016,0,0.03,0,0.037,0.034,0,0,0
ccand93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan,0,0,0,0,0,0,0,0,0,0,0.064,0,1,0.133,0,0,0,0,0,0,0.062,0,0,0,0,0
huayifang,0,0,0.093,0,0,0.069,0,0,0,0,0,0,0.133,1,0,0,0,0.018,0.037,0.029,0,0.017,0.018,0,0,0
patrickherrod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lheston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lostkuma,0.017,0,0.018,0,0,0,0.072,0.058,0,0,0,0,0,0,0,0,1,0.089,0.035,0.018,0,0.015,0.334,0,0,0
MegamindHenry,0,0,0.035,0,0,0.017,0,0.044,0,0,0.016,0,0,0.018,0,0,0.089,1,0.018,0,0,0.015,0.082,0,0,0
shiboo18,0.065,0,0.044,0,0,0,0,0.017,0,0,0,0,0,0.037,0,0,0.035,0.018,1,0.055,0.042,0,0,0,0,0
meetalivaidya,0.03,0,0.062,0,0,0.03,0,0,0,0,0.03,0,0,0.029,0,0,0.018,0,0.055,1,0,0.122,0,0,0.045,0.157
hsu,0,0,0,0,0,0.031,0,0,0,0,0,0,0.062,0,0,0,0,0,0.042,0,1,0,0,0,0,0
tanmayee123,0.135,0,0.09,0,0,0.107,0,0.042,0,0,0.037,0,0,0.017,0,0,0.015,0.015,0,0.122,0,1,0.09,0,0.257,0.105
cgrieger12,0.052,0,0.072,0,0,0.018,0.09,0.147,0,0,0.034,0,0,0.018,0,0,0.334,0.082,0,0,0,0.09,1,0,0.057,0
mgogte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aterriqu,0.267,0,0.231,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.257,0.057,0,1,0.212
abelal16,0.047,0,0.129,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0,0.105,0,0,0.212,1
