"RT @mishmosh614: As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @L…","Twitter for Windows Phone","Columbus, OH",46711.0
"As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @LocalMattersOrg","Twitter for Windows Phone","Columbus, Ohio",46711.0
"Check out @owlxwhite new location in our food Cory area! @ Memphis Farmers Market https://t.co/UL2QbQUbrW",Instagram,"Memphis, TN",46711.0
"I'll Bite: Cotswold area gets its own farmers market https://t.co/ela1k1pk7c",dlvr.it,"Charlotte, NC",46711.0
"The MemphisFarmersMarket IS BACK! Sat. @ 7 am - 1 pm. Local products, music, food &amp; fun! https://t.co/0P3UGzLQLB",dlvr.it,"Memphis, TN",46711.0
"RT @mishmosh614: As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @L…","Twitter for Windows Phone","Columbus, OH",46714.0
"As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @LocalMattersOrg","Twitter for Windows Phone","Columbus, Ohio",46714.0
"Check out @owlxwhite new location in our food Cory area! @ Memphis Farmers Market https://t.co/UL2QbQUbrW",Instagram,"Memphis, TN",46714.0
"I'll Bite: Cotswold area gets its own farmers market https://t.co/ela1k1pk7c",dlvr.it,"Charlotte, NC",46714.0
"The MemphisFarmersMarket IS BACK! Sat. @ 7 am - 1 pm. Local products, music, food &amp; fun! https://t.co/0P3UGzLQLB",dlvr.it,"Memphis, TN",46714.0
"RT @mishmosh614: As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @L…","Twitter for Windows Phone","Columbus, OH",46772.0
"As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @LocalMattersOrg","Twitter for Windows Phone","Columbus, Ohio",46772.0
"Check out @owlxwhite new location in our food Cory area! @ Memphis Farmers Market https://t.co/UL2QbQUbrW",Instagram,"Memphis, TN",46772.0
"I'll Bite: Cotswold area gets its own farmers market https://t.co/ela1k1pk7c",dlvr.it,"Charlotte, NC",46772.0
"The MemphisFarmersMarket IS BACK! Sat. @ 7 am - 1 pm. Local products, music, food &amp; fun! https://t.co/0P3UGzLQLB",dlvr.it,"Memphis, TN",46772.0
"RT @mishmosh614: As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @L…","Twitter for Windows Phone","Columbus, OH",46773.0
"As a consumer, what do you find confusing or misleading when purchasing food at grocery, restaurant, farmers market...? @LocalMattersOrg","Twitter for Windows Phone","Columbus, Ohio",46773.0
"Check out @owlxwhite new location in our food Cory area! @ Memphis Farmers Market https://t.co/UL2QbQUbrW",Instagram,"Memphis, TN",46773.0
"I'll Bite: Cotswold area gets its own farmers market https://t.co/ela1k1pk7c",dlvr.it,"Charlotte, NC",46773.0
"The MemphisFarmersMarket IS BACK! Sat. @ 7 am - 1 pm. Local products, music, food &amp; fun! https://t.co/0P3UGzLQLB",dlvr.it,"Memphis, TN",46773.0
