,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,ccand93,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0.06462,0.0375,0,0.27474,0.05143,0,0,0
Christyyy-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmittal115-cp,0,0,0.15469,0,0,0.16941,0.05538,0,0,0,0,0,0,0.17739,0,0,0,0,0.04444,0.03429,0,0.19478,0.07238,0,0,0
cgrieger12-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shiboo18-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffkeilmann-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelal16-cp,0,0,0,0,0,0.14118,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0.13939,0,0.22957,0,0,0,0
huayifang-cp,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0.15529,0,0,0,0,0.0375,0.04444,0,0,0.01846,0,0,0
ishwetasingh-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aterriqu-cp,0,0,0,0,0,0.18439,0,0,0,0,0,0,0,0.08235,0,0,0,0,0,0,0,0.90725,0.05684,0,0,0
lheston-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan-cp,0,0,0,0,0,0,0,0,0,0,0.19429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pjt90-cp,0,0,0,0,0,0.25846,0,0,0,0,0,0,0,0.06,0,0,0.05333,0,0,0,0,0,0,0,0,0
meetalivaidya-cp,0,0,0,0,0,0.05455,0,0,0,0,0,0,0,0,0,0,0,0,0.03429,0.15937,0,0.07765,0,0,0,0
lostkuma-cp,0,0,0,0,0,0,0.30098,0,0,0,0,0,0,0,0,0,0.03742,0,0.01818,0,0,0,0.33971,0,0,0
prachitamane-cp,0,0,0,0,0,0,0.01857,0,0,0,0.27429,0,0,0,0,0,0,0,0,0.0375,0,0,0.03467,0,0,0
crloflin-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MegamindHenry-cp,0,0,0,0,0,0.018,0.06154,0,0,0,0,0,0,0.01923,0,0,0.03704,0.03805,0.0175,0,0,0,0.072,0,0,0
hsu-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
mgogte-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccand93-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dengc-cp,0,0,0.01955,0,0,0.018,0.12857,0,0,0,0,0,0,0.05625,0,0,0.01882,0,0,0,0,0,0.1471,0,0,0
sauravn-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patrickherrod-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ankitbatheja-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tanmayee123-cp,0,0,0,0,0,0.1595,0.03273,0,0,0,0,0,0,0.01846,0,0,0.01714,0,0,0.13371,0,0.2383,0.07826,0,0,0
